"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","id","Schwartzberg"
"110","district",4202,"Pennsylvania",2,0.020087198,0.012113977,0.001903179,123,41.4741856602478
"111","district",4213,"Pennsylvania",13,0.042492149,0.037029508,0.003648862,124,19.7338279785825
"112","district",4101,"Oregon",1,0.978246534,0.105101022,0.013585014,126,33.3597011820926
"113","district",4103,"Oregon",3,0.334220068,0.065987222,0.008605524,127,31.0571320256301
"114","district",4105,"Oregon",5,1.66970969,0.184076016,0.019146551,128,24.8844593524772
"115","district",4102,"Oregon",2,20.38757869,0.368903621,0.056965424,129,43.3885202640704
"116","district",4104,"Oregon",4,5.233951169,0.20782463,0.029267843,130,39.0231882766956
"117","district",4005,"Oklahoma",5,0.538491419,0.082865093,0.012307623,132,31.3922687305748
"118","district",4004,"Oklahoma",4,2.530523375,0.189097705,0.021845364,133,29.8211131549248
"119","district",4001,"Oklahoma",1,0.436973811,0.082206887,0.014206449,134,28.5052224140855
"120","district",4002,"Oklahoma",2,5.57651515,0.266725303,0.034267392,135,31.3850018116113
"121","district",4003,"Oklahoma",3,8.907127066,0.321095202,0.060424025,136,32.9488256177909
"122","district",3901,"Ohio",1,0.191137413,0.058297502,0.007631293,138,26.5844596787782
"123","district",3903,"Ohio",3,0.064124516,0.043756541,0.003151189,139,20.5151170329495
"124","district",3912,"Ohio",12,0.635064485,0.106059701,0.014777064,140,26.635659025163
"125","district",3914,"Ohio",14,0.94796122,0.0838331,0.012627781,141,41.1703625754505
"126","district",3911,"Ohio",11,0.202880698,0.060121189,0.011248532,142,26.5581449129566
"127","district",3905,"Ohio",5,1.553512976,0.119859048,0.015666132,143,36.8630742193965
"128","district",3904,"Ohio",4,1.313239187,0.158958134,0.022831438,144,25.5560714004374
"129","district",3907,"Ohio",7,1.062921799,0.147265285,0.013575028,145,24.8173386359101
"130","district",3916,"Ohio",16,0.345345286,0.086845162,0.00929523,146,23.9875596931124
"131","district",3913,"Ohio",13,0.253407726,0.082573435,0.00927511,147,21.6109822445956
"132","district",3908,"Ohio",8,0.664577214,0.087987441,0.012248669,148,32.8440699502115
"133","district",3902,"Ohio",2,0.876728927,0.108531651,0.014449437,149,30.5830778617259
"134","district",3906,"Ohio",6,1.988941618,0.21632649,0.027658932,150,23.1103352690963
"135","district",3909,"Ohio",9,0.601379799,0.085941684,0.014749604,151,31.9871458454887
