geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
state,38.0,North Dakota,,21.83752683,0.277769325,0.053678544,154
district,3800.0,North Dakota,0.0,21.85317155,0.307077849,0.053605315,155
state,37.0,North Carolina,,12.67127248,0.488451791,0.070770642,156
district,3701.0,North Carolina,1.0,1.4614209,0.333005213,0.020500198,157
district,3703.0,North Carolina,3.0,3.086011653,0.311699478,0.029599824,158
district,3706.0,North Carolina,6.0,0.972992959,0.152401393,0.01859267,159
district,3705.0,North Carolina,5.0,0.936217936,0.135004635,0.01375474,160
district,3709.0,North Carolina,9.0,0.229921157,0.101327012,0.010502459,161
district,3708.0,North Carolina,8.0,1.172628802,0.13199683,0.018732065,162
district,3712.0,North Carolina,12.0,0.139528766,0.120060679,0.013965594,163
district,3710.0,North Carolina,10.0,0.672457576,0.101022913,0.014632623,164
district,3711.0,North Carolina,11.0,1.777871524,0.169150879,0.024175645,165
district,3702.0,North Carolina,2.0,0.850152019,0.172620365,0.013605368,166
district,3704.0,North Carolina,4.0,0.273340407,0.138738607,0.012434114,167
district,3713.0,North Carolina,13.0,0.604006587,0.181573012,0.012037338,168
district,3707.0,North Carolina,7.0,1.678517154,0.218205621,0.019436635,169
state,36.0,New York,,13.90250718,0.406515588,0.057829113,170
district,3624.0,New York,24.0,1.047470108,0.083651042,0.012178802,171
district,3627.0,New York,27.0,1.483671335,0.114746852,0.013968329,172
district,3625.0,New York,25.0,0.361415044,0.044831842,0.006727042,173
district,3611.0,New York,11.0,0.032757584,0.015618735,0.002384386,174
district,3605.0,New York,5.0,0.033530169,0.019592879,0.00308086,175
district,3602.0,New York,2.0,0.089774323,0.025809708,0.003943201,176
district,3603.0,New York,3.0,0.101517607,0.025866859,0.004324323,177
district,3604.0,New York,4.0,0.048363792,0.018004793,0.002619292,178
district,3622.0,New York,22.0,1.486143605,0.141588935,0.0185529,179
district,3623.0,New York,23.0,2.272480142,0.146042093,0.025645086,180
district,3621.0,New York,21.0,4.767619145,0.180177212,0.027215156,181
district,3619.0,New York,19.0,2.293803475,0.165560188,0.019533941,182
